,0,1,2,3,4,5,6,7,8,9,10,11
assignment3/data/midi/bach/sinfon/sinfon1.mid,0.172,0.01,0.131,0.001,0.171,0.1,0.031,0.134,0.0,0.123,0.021,0.105
assignment3/data/midi/bach/sinfon/sinfon10.mid,0.1,0.024,0.134,0.014,0.117,0.01,0.104,0.164,0.025,0.117,0.01,0.18
assignment3/data/midi/bach/sinfon/sinfon11.mid,0.108,0.021,0.186,0.092,0.037,0.091,0.034,0.169,0.005,0.123,0.119,0.014
assignment3/data/midi/bach/sinfon/sinfon12.mid,0.005,0.122,0.061,0.034,0.178,0.016,0.146,0.005,0.129,0.189,0.003,0.112
assignment3/data/midi/bach/sinfon/sinfon13.mid,0.137,0.024,0.131,0.005,0.165,0.083,0.025,0.096,0.031,0.181,0.005,0.116
assignment3/data/midi/bach/sinfon/sinfon14.mid,0.127,0.006,0.146,0.107,0.03,0.154,0.004,0.134,0.016,0.088,0.169,0.019
assignment3/data/midi/bach/sinfon/sinfon15.mid,0.004,0.1,0.141,0.005,0.135,0.003,0.162,0.065,0.028,0.085,0.045,0.226
assignment3/data/midi/bach/sinfon/sinfon2.mid,0.159,0.008,0.132,0.131,0.017,0.116,0.021,0.163,0.076,0.042,0.11,0.026
assignment3/data/midi/bach/sinfon/sinfon3.mid,0.031,0.079,0.13,0.016,0.129,0.009,0.156,0.112,0.028,0.162,0.006,0.143
assignment3/data/midi/bach/sinfon/sinfon4.mid,0.096,0.039,0.162,0.019,0.111,0.122,0.026,0.112,0.022,0.164,0.092,0.035
assignment3/data/midi/bach/sinfon/sinfon5.mid,0.16,0.048,0.088,0.136,0.023,0.11,0.0,0.123,0.13,0.024,0.149,0.008
assignment3/data/midi/bach/sinfon/sinfon6.mid,0.012,0.129,0.006,0.12,0.179,0.007,0.145,0.005,0.14,0.122,0.018,0.115
assignment3/data/midi/bach/sinfon/sinfon7.mid,0.063,0.081,0.107,0.028,0.165,0.003,0.153,0.126,0.019,0.11,0.021,0.124
assignment3/data/midi/bach/sinfon/sinfon8.mid,0.128,0.016,0.145,0.024,0.087,0.176,0.006,0.173,0.0,0.12,0.102,0.025
assignment3/data/midi/bach/sinfon/sinfon9.mid,0.128,0.081,0.05,0.1,0.054,0.166,0.035,0.086,0.111,0.057,0.101,0.03
assignment3/data/midi/bach/suites/airgstr4.mid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
assignment3/data/midi/bach/wtcbki/fugue1.mid,0.184,0.009,0.152,0.0,0.131,0.085,0.028,0.155,0.012,0.134,0.014,0.095
assignment3/data/midi/bach/wtcbki/fugue10.mid,0.08,0.057,0.13,0.026,0.143,0.044,0.091,0.111,0.037,0.128,0.024,0.13
assignment3/data/midi/bach/wtcbki/fugue11.mid,0.127,0.032,0.112,0.019,0.102,0.141,0.011,0.14,0.0,0.174,0.119,0.023
assignment3/data/midi/bach/wtcbki/fugue12.mid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
assignment3/data/midi/bach/wtcbki/fugue13.mid,0.025,0.14,0.01,0.125,0.011,0.097,0.183,0.003,0.156,0.003,0.152,0.096
assignment3/data/midi/bach/wtcbki/fugue14.mid,0.016,0.168,0.052,0.051,0.084,0.04,0.193,0.01,0.119,0.115,0.036,0.118
assignment3/data/midi/bach/wtcbki/fugue15.mid,0.08,0.048,0.149,0.01,0.134,0.007,0.116,0.171,0.006,0.14,0.009,0.13
